RTINumber,Template,Subject,MainMessage,User Query
1139739,Income Tax Refund Delay,The status of my IT Refund for FY [MASKED_DATE]; PAN number : [MASKED_NAME],"""Following are the details of my Income Tax refund claim: 
 PAN number : [MASKED_NAME]
  
 Financial Year : [MASKED_DATE]
 
 Ward/Circle No : 14(4)
 
 Refund Amount : 19410
  
 As of date, I have not received my refund. Please advise the reason for the delay.""","Subject: The status of my IT Refund for FY [MASKED_DATE]; PAN number : [MASKED_NAME]

""Following are the details of my Income Tax refund claim: 
 PAN number : [MASKED_NAME]
  
 Financial Year : [MASKED_DATE]
 
 Ward/Circle No : 14(4)
 
 Refund Amount : 19410
  
 As of date, I have not received my refund. Please advise the reason for the delay."""
1168519,Income Tax Refund Delay,Status of my IT Refund for the FY [MASKED_DATE]-22; PAN number [MASKED_ID],"""Following are the details of my Income Tax refund claim: 
  [MASKED_NAME] PAN number : [MASKED_ID]
 Financial Year : [MASKED_DATE]-22
 Ward/Circle Number : 
 Refund Amount : 142010
 Name of the District of IT Office : [MASKED_ADDRESS]
 Date of application : 17th Sept [MASKED_DATE]
  
 As of date, I have not received my refund. Please advise the reason for the delay.""","Subject: Status of my IT Refund for the FY [MASKED_DATE]-22; PAN number [MASKED_ID]

""Following are the details of my Income Tax refund claim: 
  [MASKED_NAME] PAN number : [MASKED_ID]
 Financial Year : [MASKED_DATE]-22
 Ward/Circle Number : 
 Refund Amount : 142010
 Name of the District of IT Office : [MASKED_ADDRESS]
 Date of application : 17th Sept [MASKED_DATE]
  
 As of date, I have not received my refund. Please advise the reason for the delay."""
1139739,Income Tax Refund Delay,The status of my IT Refund for FY 2010-2011; PAN number : [MASKED_NAME],"Following are the details of my Income Tax refund claim: \n \nPAN number : [MASKED_NAME]\n \nFinancial Year : 2010-11\n \nWard/Circle No : 14(4)\n \nRefund Amount : 19410\n \nAs of date, I have not received my refund. Please advise the reason for the delay.","Subject: The status of my IT Refund for FY 2010-2011; PAN number : [MASKED_NAME]

Following are the details of my Income Tax refund claim: \n \nPAN number : [MASKED_NAME]\n \nFinancial Year : 2010-11\n \nWard/Circle No : 14(4)\n \nRefund Amount : 19410\n \nAs of date, I have not received my refund. Please advise the reason for the delay."
1133748,Passport Delay,The daily progress on my passport application: BN2074467170322,Following are the details of the Passport Delay for:\n \nName of Applicant : [MASKED_NAME]\n \nPassport Application Number : BN2074467170322\n \nName of Passport Office : Bengaluru\n \nApplication Submission Date : 04/08/2022\n,"Subject: The daily progress on my passport application: BN2074467170322

Following are the details of the Passport Delay for:\n \nName of Applicant : [MASKED_NAME]\n \nPassport Application Number : BN2074467170322\n \nName of Passport Office : Bengaluru\n \nApplication Submission Date : 04/08/2022\n"
1146446,Passport Delay,Information Regarding - Passport Delay,Following are the details of the Passport Delay for:\n \nName of Applicant : [MASKED_NAME]\n \nPassport Application Number : [MASKED_ID]\n \nName of Passport Office : Ambala\n \nApplication Submission Date : 24/08/2022\n,"Subject: Information Regarding - Passport Delay

Following are the details of the Passport Delay for:\n \nName of Applicant : [MASKED_NAME]\n \nPassport Application Number : [MASKED_ID]\n \nName of Passport Office : Ambala\n \nApplication Submission Date : 24/08/2022\n"
1158717,Passport Delay,The daily progress on my passport application [MASKED_ID],"""My passport application details: 
 \n \n1. Name of the Applicant : [MASKED_NAME] 
 \n \n2. Passport Application Number : 22-1010796591 
 \n \n3. Passport Office : RPO VIJAYAWADA 
 \n \n4. Application Submission Date : 20/10/2022 
 \n \n for the past two weeks, there is not change in status even though Police Verification Report is available. I am still waiting for its delivery. Please advise the reason for the delay.""","Subject: The daily progress on my passport application [MASKED_ID]

""My passport application details: 
 \n \n1. Name of the Applicant : [MASKED_NAME] 
 \n \n2. Passport Application Number : 22-1010796591 
 \n \n3. Passport Office : RPO VIJAYAWADA 
 \n \n4. Application Submission Date : 20/10/2022 
 \n \n for the past two weeks, there is not change in status even though Police Verification Report is available. I am still waiting for its delivery. Please advise the reason for the delay."""
1132754,FIR Status,The daily progress made of FIR [MASKED_ID],Following are the details of the FIR \n \nFIR Number : [MASKED_ID]\n \nPolice Station : Model Town\n \nDate of FIR : [MASKED_DATE]\n \n Please provide me the status of the above FIR and confirm the actions taken on it to date.,"Subject: The daily progress made of FIR [MASKED_ID]

Following are the details of the FIR \n \nFIR Number : [MASKED_ID]\n \nPolice Station : Model Town\n \nDate of FIR : [MASKED_DATE]\n \n Please provide me the status of the above FIR and confirm the actions taken on it to date."
1134508,FIR Status,The daily progress made of FIR [MASKED_FIR_NUMBER],"Following are the details of the FIR \n \nFIR Number : [MASKED_FIR_NUMBER] \n \nPolice Station Roorkee \n \nDate of FIR : [MASKED_DATE] \n \nThere was a theft at my home on [MASKED_DATE], and an FIR was registered (FIR No.: [MASKED_FIR_NUMBER]) in Police Station Roorkee, Haridwar.The thief has taken all the gold jewelry at home by breaking the main door, Almirah and its locker.I'm a senior citizen have been regularly visiting station for the progress in investigation but seems there is no progress. All my life saving has gone with the theft. Kindly provide me the updates on the investigation process for the mentioned FIR. Please provide me the status of the above FIR and confirm the actions taken on it to date.","Subject: The daily progress made of FIR [MASKED_FIR_NUMBER]

Following are the details of the FIR \n \nFIR Number : [MASKED_FIR_NUMBER] \n \nPolice Station Roorkee \n \nDate of FIR : [MASKED_DATE] \n \nThere was a theft at my home on [MASKED_DATE], and an FIR was registered (FIR No.: [MASKED_FIR_NUMBER]) in Police Station Roorkee, Haridwar.The thief has taken all the gold jewelry at home by breaking the main door, Almirah and its locker.I'm a senior citizen have been regularly visiting station for the progress in investigation but seems there is no progress. All my life saving has gone with the theft. Kindly provide me the updates on the investigation process for the mentioned FIR. Please provide me the status of the above FIR and confirm the actions taken on it to date."
1137890,FIR Status,"""Request for information under Right to Information Act,2005
 for FIR [MASKED_ID]""","Following are the details of the FIR \n \nFIR Number : [MASKED_ID]\n \nPolice Station : Sinhgad Road Police Station , SUNDER SAHAWAS, Sun City Rd, Sun City, Daulat Nagar, Pune, Maharashtra 411051\n \nDate of FIR : [MASKED_DATE]\n \nPlease provide me the status of the above FIR and confirm the actions taken on it to date.","Subject: ""Request for information under Right to Information Act,2005
 for FIR [MASKED_ID]""

Following are the details of the FIR \n \nFIR Number : [MASKED_ID]\n \nPolice Station : Sinhgad Road Police Station , SUNDER SAHAWAS, Sun City Rd, Sun City, Daulat Nagar, Pune, Maharashtra 411051\n \nDate of FIR : [MASKED_DATE]\n \nPlease provide me the status of the above FIR and confirm the actions taken on it to date."
1136507,EPF Transfer Status,"Information Regarding - the certified copy of ANNEXURE ""K""","""I had applied for transfer of my PF from my previous employer and have waited for a long period for confirmation of the same. My requested PF transfer has not been processed.\n \nFollowing are my PF transfer details:\n \nMy EPF account number : [MASKED_ID] \n \nPrevious Employer : NTPC Limited \n \nCurrent Employer : Tata Power \n \nEPF office holding old account : Delhi central \n \nEPF office holding new account : Nariman Point Bandra-3 \n \nTransfer application date : \n \n I worked in NTPC in the year 1989-2009, subsequently with M/s Reliance Power from 2009 -2011, Then JSPL from 2011 to 2014 , then with Usha Martin Limited from 2014 to 2016 and then with Tata Power 2016 to 2018 and then 2018 to 2020 with CGPL and since then 2020 to till date with Tata Power .My PF is transfer is pending at CGPL since June 2020. My EPS transfer pending from NTPC for the period 1989 to 2009 , due to which my PF and EPS couldn�t be regularized. Now I completed [MASKED_ID] as on 01-06-2022. Want to start pension, however, due to past service non regularization, it is pending. CODE AND ACCOUNT NO . DL/4070/5397 : ANNEXURE """"K"""" COPY REQUIRED FOR TRANSFER MY FPF/EPS ' 95 CONTRIBUTION FROM MY PREVIOUS EMPLOYER NTPC ( DL/4070/5397) FROM 08.06.89 TO 09.07.2009 FROM RPFC (CENTRAL) WAZIPUR DELHI TO MY ACCOUNT CODE NO [MASKED_ID] and to Tata Power MHBAN000908000X0410729For information my UAN No : [MASKED_ID]
 Mobile No : [MASKED_PHONE_NUMBER] and [MASKED_PHONE_NUMBER]
 E mail address : [MASKED_EMAIL_ADDRESS]. Please confirm status of my EPF transfer and advise the reason for the delay.""","Subject: Information Regarding - the certified copy of ANNEXURE ""K""

""I had applied for transfer of my PF from my previous employer and have waited for a long period for confirmation of the same. My requested PF transfer has not been processed.\n \nFollowing are my PF transfer details:\n \nMy EPF account number : [MASKED_ID] \n \nPrevious Employer : NTPC Limited \n \nCurrent Employer : Tata Power \n \nEPF office holding old account : Delhi central \n \nEPF office holding new account : Nariman Point Bandra-3 \n \nTransfer application date : \n \n I worked in NTPC in the year 1989-2009, subsequently with M/s Reliance Power from 2009 -2011, Then JSPL from 2011 to 2014 , then with Usha Martin Limited from 2014 to 2016 and then with Tata Power 2016 to 2018 and then 2018 to 2020 with CGPL and since then 2020 to till date with Tata Power .My PF is transfer is pending at CGPL since June 2020. My EPS transfer pending from NTPC for the period 1989 to 2009 , due to which my PF and EPS couldn�t be regularized. Now I completed [MASKED_ID] as on 01-06-2022. Want to start pension, however, due to past service non regularization, it is pending. CODE AND ACCOUNT NO . DL/4070/5397 : ANNEXURE """"K"""" COPY REQUIRED FOR TRANSFER MY FPF/EPS ' 95 CONTRIBUTION FROM MY PREVIOUS EMPLOYER NTPC ( DL/4070/5397) FROM 08.06.89 TO 09.07.2009 FROM RPFC (CENTRAL) WAZIPUR DELHI TO MY ACCOUNT CODE NO [MASKED_ID] and to Tata Power MHBAN000908000X0410729For information my UAN No : [MASKED_ID]
 Mobile No : [MASKED_PHONE_NUMBER] and [MASKED_PHONE_NUMBER]
 E mail address : [MASKED_EMAIL_ADDRESS]. Please confirm status of my EPF transfer and advise the reason for the delay."""
